"simulate_model","fit_model","iteration","ACC","LogL","LogPr","LogPo","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",29,62.78,-197.98,NA,NA,399.96,407.73,0.988910319516435,0.211397308856249,0.253302695222401,0.167007182170766,NA,NA
"TD","TD",30,89.17,-86.5,NA,NA,177,184.77,0.329378831898794,2.0851063261411,0.133508301318687,1.40677411079443,NA,NA
"TD","TD",31,85,-179.92,NA,NA,363.84,371.61,0.11878991080448,0.835414388175023,0.0849039085675488,3.65453266336966,NA,NA
"TD","TD",32,62.78,-191.13,NA,NA,386.26,394.03,0.0508385861758143,0.410096168983728,0.0156409465629597,0.26436866256063,NA,NA
"TD","TD",33,88.89,-101.74,NA,NA,207.48,215.25,0.684979062527418,0.756628525771442,0.769560547792223,0.857956005826421,NA,NA
"TD","TD",34,57.78,-212.93,NA,NA,429.86,437.63,0.842564480379224,0.0599249633960426,0.0236549039794763,0.0609419474105475,NA,NA
"TD","TD",35,92.78,-94.48,NA,NA,192.96,200.73,0.27115519088693,2.69503675574873,0.219136596677299,3.06126799234129,NA,NA
"TD","TD",36,81.39,-153.66,NA,NA,311.32,319.09,0.779200294986367,0.457588243763894,0.903718741237882,0.490829640505021,NA,NA
"TD","TD",37,90.28,-79.21,NA,NA,162.42,170.19,0.982565350597724,3.92570209977795,0.905121968877547,0.867352139055368,NA,NA
"TD","TD",38,63.61,-199.71,NA,NA,403.42,411.19,0.533772448310629,0.225168376229703,0.322179283805401,0.164741253809561,NA,NA
"TD","TD",39,88.89,-131.48,NA,NA,266.96,274.73,0.128862570039928,1.75030500992181,0.101971926912286,4.60676926589268,NA,NA
"TD","TD",40,57.78,-213.1,NA,NA,430.2,437.97,0.420502026332542,0.0828633031448371,0.0131313276948979,0.0566296591194409,NA,NA
"TD","TD",41,87.78,-101.97,NA,NA,207.94,215.71,0.860091791022569,1.2001721150753,0.789727232121027,0.704173870505855,NA,NA
"TD","TD",42,64.17,-196.61,NA,NA,397.22,404.99,0.633000507717952,0.316391955215622,0.429011538795758,0.148188561372676,NA,NA
"TD","TD",43,91.11,-120.75,NA,NA,245.5,253.27,0.512010124279186,2.01376353887389,0.576653877547752,1.37919261308572,NA,NA
"TD","TD",44,90,-94.54,NA,NA,193.08,200.85,0.4054856733419,3.89528230370438,0.267038292867367,1.37397455990487,NA,NA
