"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","123",68.89,269.23,542.46,550.23,0.0115021163303406,0.310256692030877,NA
"TD","124",69.17,184.86,373.72,381.49,0.0410140108847617,0.506824566817283,NA
"TD","125",48.33,258.35,520.7,528.47,0.983358829189092,0.00624773325398564,NA
"TD","126",86.94,127.07,258.14,265.91,0.00477358954027298,0.919699044618756,NA
"TD","127",88.61,226.11,456.22,463.99,0.0123668746761978,1.5666624398753,NA
"TD","128",56.39,257.82,519.64,527.41,0.0756164886988699,0.0379483384266496,NA
"TD","129",84.44,106.17,216.34,224.11,0.0246136845089495,1.02864644257352,NA
"RSTD","1",57.5,302.25,610.5,622.16,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","2",61.11,226.43,458.86,470.52,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","3",86.94,130.24,266.48,278.14,0.103412755765021,0.952053642187268,0.822718955212234
"RSTD","4",93.61,158.79,323.58,335.24,0.0420595335308462,0.0938570086076858,1.36990255950019
"RSTD","5",95.83,192.64,391.28,402.94,0.0408930152069778,0.351797909243032,1.41906907781959
"RSTD","6",54.72,281.38,568.76,580.42,0.150367674883455,0.102864644257352,0.0677093747815485
"RSTD","7",58.89,209.71,425.42,437.08,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","8",86.39,145.85,297.7,309.36,0.135905422028378,0.794342321110889,0.999890048159659
"RSTD","9",81.67,226.72,459.44,471.1,0.0420595335308462,0.931336362846196,0.758041662257165
"RSTD","10",96.94,135.18,276.36,288.02,0.0269299419479818,0.351797909243032,1.41906907781959
"RSTD","11",86.94,200.95,407.9,419.56,0.0420595335308462,0.931336362846196,0.758041662257165
"RSTD","12",56.94,276.43,558.86,570.52,0.378333632070959,0.717604209516704,0.108364857061504
"RSTD","13",93.33,91.34,188.68,200.34,0.0774069247982204,0.766308927326575,1.09744922332838
"RSTD","14",93.61,145.57,297.14,308.8,0.0562036856468767,0.379816537722945,1.54202300822362
"RSTD","15",52.78,272.85,551.7,563.36,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","16",97.78,39.02,84.04,95.7,0.00526972061954438,0.379816537722945,1.54202300822362
"RSTD","17",62.5,246.65,499.3,510.96,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","18",55.28,298.18,602.36,614.02,0.378333632070959,0.717604209516704,0.108364857061504
"RSTD","19",57.22,246.1,498.2,509.86,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","20",98.06,78.91,163.82,175.48,0.00526972061954438,0.379816537722945,1.54202300822362
"RSTD","21",96.67,77.19,160.38,172.04,0.0361328417714685,0.379816537722945,1.54202300822362
"RSTD","22",97.22,44.25,94.5,106.16,0.0423737407010049,0.379816537722945,1.54202300822362
"RSTD","23",96.67,186.94,379.88,391.54,0.0420595335308462,0.931336362846196,2.22185344947502
"RSTD","24",51.11,243.29,492.58,504.24,0.640506813768297,0.710182401351631,0.0183642982284723
"RSTD","25",90.56,222.19,450.38,462.04,0.0680463633103669,0.522299605654553,1.05962349060848
"RSTD","26",51.94,231.17,468.34,480,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","27",94.17,132.37,270.74,282.4,0.0725599563734233,0.766308927326575,1.20834751954153
"RSTD","28",57.78,257.79,521.58,533.24,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","29",55.28,246.73,499.46,511.12,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","31",96.67,69.8,145.6,157.26,0.0129855009075254,0.379816537722945,1.54202300822362
"RSTD","32",84.72,243.13,492.26,503.92,0.0237893216945231,0.102864644257352,1.21132037390023
"RSTD","34",98.33,38.86,83.72,95.38,0.0420595335308462,0.931336362846196,2.22185344947502
"RSTD","35",93.33,136.83,279.66,291.32,0.0562036856468767,0.379816537722945,1.54202300822362
"RSTD","36",90,220.65,447.3,458.96,0.0680463633103669,0.522299605654553,1.05962349060848
"RSTD","37",91.67,209.32,424.64,436.3,0.0669912528926313,0.764371499935165,1.27865592285648
"RSTD","38",60,343.14,692.28,703.94,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","39",52.5,241.76,489.52,501.18,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","40",58.89,243.31,492.62,504.28,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","41",86.11,165.26,336.52,348.18,0.0420595335308462,0.931336362846196,0.758041662257165
"RSTD","42",97.22,60.41,126.82,138.48,0.0602687604930252,0.379816537722945,1.54202300822362
"RSTD","43",95.56,95.33,196.66,208.32,0.044949786507997,0.351797909243032,1.41906907781959
"RSTD","44",91.94,92.15,190.3,201.96,0.103412755765021,0.95278673382625,0.941960523870586
"RSTD","45",95,157.7,321.4,333.06,0.0602386042791903,0.756562729151919,1.3095342694439
"RSTD","46",91.94,110.2,226.4,238.06,0.0897369897980243,0.794342321110889,1.22963453467935
"RSTD","47",48.89,300.86,607.72,619.38,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","48",56.11,271.42,548.84,560.5,0.486060837544036,0.896587244234979,0.0302779964971534
"RSTD","49",93.61,143.51,293.02,304.68,0.0420595335308462,0.420861494489014,1.20946163414046
"RSTD","50",59.44,241.49,488.98,500.64,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","51",85.56,264.7,535.4,547.06,0.0420595335308462,0.931336362846196,0.758041662257165
"RSTD","52",51.39,236.96,479.92,491.58,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","53",88.89,237.58,481.16,492.82,0.0237893216945231,0.102864644257352,1.21132037390023
"RSTD","54",57.22,256.85,519.7,531.36,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","55",96.11,133.15,272.3,283.96,0.023183878112957,0.351797909243032,1.41906907781959
"RSTD","56",93.89,176.04,358.08,369.74,0.0420595335308462,0.494916235230863,1.25928224090859
"RSTD","57",98.61,41.81,89.62,101.28,0.0269299419479818,0.351797909243032,1.41906907781959
"RSTD","58",87.5,205.09,416.18,427.84,0.0647702398888021,0.794342321110889,0.738604721181094
"RSTD","59",94.44,151,308,319.66,0.00866923338733611,0.351797909243032,1.41906907781959
"RSTD","60",71.67,194.99,395.98,407.64,0.0420595335308462,0.136564946849644,0.465279304813594
"RSTD","61",85,260.77,527.54,539.2,0.0420595335308462,0.931336362846196,0.758041662257165
"RSTD","62",51.39,251.06,508.12,519.78,0.537071496551335,0.718173115926683,0.0145951508468382
"RSTD","63",98.06,42.58,91.16,102.82,0.0266070441752672,0.213079559201375,1.23096252242103
"RSTD","64",96.67,72.72,151.44,163.1,0.0504564056303801,0.351797909243032,1.41906907781959
"RSTD","65",52.78,279.64,565.28,576.94,0.640506813768297,0.710182401351631,0.0090048475829525
"RSTD","67",77.78,153.41,312.82,324.48,0.0420595335308462,0.0950872913182187,0.781282044268654
"RSTD","68",50.28,232.11,470.22,481.88,0.368845450924709,0.656758127966896,0.0151954467780887
"RSTD","69",52.5,435.25,876.5,888.16,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","70",90.83,125.23,256.46,268.12,0.0897369897980243,0.794342321110889,1.22963453467935
"RSTD","71",58.33,282.3,570.6,582.26,0.378333632070959,0.717604209516704,0.108364857061504
"RSTD","72",49.72,498.36,1002.72,1014.38,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","73",97.22,47.78,101.56,113.22,0.000637706888839955,0.351797909243032,1.41906907781959
"RSTD","74",62.5,242.74,491.48,503.14,0.80689954617992,0.85678212755397,0.0816898373886943
"RSTD","75",95,142.52,291.04,302.7,0.0420595335308462,0.420861494489014,1.41912669263408
"RSTD","76",54.17,250.13,506.26,517.92,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","77",59.44,252.27,510.54,522.2,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","78",94.44,97.88,201.76,213.42,0.0574496757458896,0.351797909243032,1.41906907781959
"RSTD","79",58.89,284.48,574.96,586.62,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","80",87.22,164.78,335.56,347.22,0.0154237382776321,0.517775167569056,0.945643850309283
"RSTD","81",96.11,109.31,224.62,236.28,0.023183878112957,0.351797909243032,1.41906907781959
"RSTD","82",96.39,136.25,278.5,290.16,0.0408930152069778,0.351797909243032,1.41906907781959
"RSTD","83",91.39,172.45,350.9,362.56,0.0897369897980243,0.794342321110889,1.22963453467935
"RSTD","84",97.5,85.05,176.1,187.76,0.00225168320350348,0.379816537722945,1.54202300822362
"RSTD","85",57.22,291.17,588.34,600,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","86",97.78,71.81,149.62,161.28,0.0408930152069778,0.351797909243032,1.41906907781959
"RSTD","87",53.61,242.07,490.14,501.8,0.486060837544036,0.896587244234979,0.0302779964971534
"RSTD","88",57.22,242.92,491.84,503.5,0.402649036608636,0.802243969636038,0.017243054768852
"RSTD","89",57.22,230.78,467.56,479.22,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","90",61.94,257.02,520.04,531.7,0.378333632070959,0.717604209516704,0.108364857061504
"RSTD","91",53.89,237.2,480.4,492.06,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","92",57.22,221.53,449.06,460.72,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","93",57.5,243.8,493.6,505.26,0.407883451357484,0.537793918782845,0.0534468199051914
"RSTD","94",99.17,12.21,30.42,42.08,0.0361328417714685,0.379816537722945,1.54202300822362
"RSTD","95",83.61,246.66,499.32,510.98,0.0420595335308462,0.931336362846196,0.758041662257165
"RSTD","96",53.89,257.08,520.16,531.82,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","97",90.56,108.28,222.56,234.22,0.0420595335308462,0.0730026935636996,1.82546449026093
"RSTD","98",56.94,244.27,494.54,506.2,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","99",93.33,98.99,203.98,215.64,0.0420595335308462,0.931336362846196,1.01208903262541
"RSTD","100",91.94,233.28,472.56,484.22,0.0841417677540332,0.794342321110889,1.12300155755132
"RSTD","101",52.78,267.2,540.4,552.06,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","102",94.17,181.18,368.36,380.02,0.0420595335308462,0.316650629825294,1.21295057060644
"RSTD","103",95.83,137.27,280.54,292.2,0.0408930152069778,0.351797909243032,1.41906907781959
"RSTD","104",98.06,78.19,162.38,174.04,0.00225168320350348,0.379816537722945,1.54202300822362
"RSTD","105",58.61,249.66,505.32,516.98,0.413724326295778,0.343516472261399,0.104671118315309
