"simulate_model","fit_model","iteration","ACC","LL","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",21,88.33,-138.25,280.5,288.27,0.226354157319292,1.66897989056053,0.354246039642021,0.820901804976165,NA,NA
"TD","TD",22,72.5,-185.55,375.1,382.87,0.300222688354552,0.955442077438247,0.209517347413897,0.329637288066372,NA,NA
"TD","TD",23,94.17,-126.6,257.2,264.97,0.984172471100464,1.69604673600736,0.896070680953562,1.77634091046639,NA,NA
"TD","TD",24,67.5,-213.21,430.42,438.19,0.540354023920372,0.234106497689865,0.489237285684794,0.180785761028528,NA,NA
"TD","TD",25,68.89,-193.09,390.18,397.95,0.870058757020161,0.327183235902339,0.489237285684794,0.180785761028528,NA,NA
"TD","TD",26,60.56,-213.07,430.14,437.91,0.0660558908712119,1.97567781611326,0.0563167628809809,0.0655081219021229,NA,NA
"TD","TD",27,72.5,-190.54,385.08,392.85,0.973287776112556,0.260513227898628,0.651829779762775,0.187097935611382,NA,NA
"TD","TD",28,73.33,-190.78,385.56,393.33,0.290595552418381,1.05573849655212,0.216407935833558,0.364080992985517,NA,NA
"TD","TD",29,69.44,-196.17,396.34,404.11,0.988910319516435,0.211397308856249,0.489237285684794,0.180785761028528,NA,NA
"TD","TD",30,73.06,-184.68,373.36,381.13,0.329378831898794,2.0851063261411,0.287577520124614,0.362349766544252,NA,NA
"TD","TD",31,75,-186.34,376.68,384.45,0.11878991080448,0.835414388175023,0.284074924840617,0.393807259856448,NA,NA
"TD","TD",32,62.5,-219.97,443.94,451.71,0.0508385861758143,0.410096168983728,0.102924682665616,0.0852651226986201,NA,NA
"TD","TD",33,81.94,-170.62,345.24,353.01,0.684979062527418,0.756628525771442,0.708530468167737,0.496258363546804,NA,NA
"TD","TD",34,60.83,-233.99,471.98,479.75,0.842564480379224,0.0599249633960426,0.414546335814521,0.0406355069670826,NA,NA
"TD","TD",35,79.72,-177.36,358.72,366.49,0.27115519088693,2.69503675574873,0.354246039642021,0.580358106642962,NA,NA
"TD","TD",36,66.94,-198.43,400.86,408.63,0.779200294986367,0.457588243763894,0.43051895794794,0.192765047367662,NA,NA
"TD","TD",37,94.17,-126.6,257.2,264.97,0.982565350597724,3.92570209977795,0.896070680953562,1.77634091046639,NA,NA
"TD","TD",38,67.5,-209.49,422.98,430.75,0.533772448310629,0.225168376229703,0.489237285684794,0.180785761028528,NA,NA
"TD","TD",39,77.5,-190.28,384.56,392.33,0.128862570039928,1.75030500992181,0.371228742043674,0.379271862985566,NA,NA
"TD","TD",40,63.89,-224.25,452.5,460.27,0.420502026332542,0.0828633031448371,0.147113647311926,0.0581296056924015,NA,NA
"TD","TD",41,94.44,-149.43,302.86,310.63,0.860091791022569,1.2001721150753,0.896070680953562,1.77634091046639,NA,NA
"TD","TD",42,70,-193.11,390.22,397.99,0.633000507717952,0.316391955215622,0.489237285684794,0.180785761028528,NA,NA
"TD","TD",43,87.22,-163.26,330.52,338.29,0.512010124279186,2.01376353887389,0.354246039642021,0.776396083645523,NA,NA
"TD","TD",44,88.06,-162.11,328.22,335.99,0.4054856733419,3.89528230370438,0.354246039642021,0.820901804976165,NA,NA
"TD","TD",45,65.28,-214.37,432.74,440.51,0.319981756620109,0.264156529679894,0.147113647311926,0.0939356583718211,NA,NA
"TD","TD",46,93.89,-133.01,270.02,277.79,0.947748523205519,1.36391219958187,0.896070680953562,1.77634091046639,NA,NA
"TD","TD",47,93.89,-142.32,288.64,296.41,0.885661983396858,1.4762263855988,0.896070680953562,1.77634091046639,NA,NA
"TD","TD",48,64.17,-222.98,449.96,457.73,0.119032545015216,0.210982074495405,0.147113647311926,0.0662485910419374,NA,NA
