"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"Utility","100",54.17,248.39,502.78,514.44,0.424153623606007,0.400759641511525,0.161503607492162
"Utility","101",51.67,267.55,541.1,552.76,0.195912368493785,0.0374241144414839,0.998044047807028
"Utility","102",60.56,231.09,468.18,479.84,1.78692426041227e-08,0.551244330296317,0.255739254337539
"Utility","103",93.61,152.96,311.92,323.58,7.20418303763613e-09,0.802129383700144,2.26523836651685
"Utility","104",96.94,71.91,149.82,161.48,3.2050535661021e-08,0.999999356615081,1.0049943524644
"Utility","105",95.28,60.88,127.76,139.42,1.11622605196147e-07,0.674595690869899,4.29337367722213
"Utility","106",87.78,106.06,218.12,229.78,7.62137182551968e-08,0.597521416154279,4.31245603625338
"Utility","107",77.22,153.61,313.22,324.88,0.00119398604094947,0.505814175518069,4.66929491621376
"Utility","108",78.06,169.2,344.4,356.06,9.45879966149868e-08,0.754346433897961,1.39207180490342
"Utility","109",60.56,217.09,440.18,451.84,1.98876654877377e-07,0.686166343544716,0.432880337289548
"Utility","110",96.67,48.68,103.36,115.02,0.000955285765523527,0.945260604170726,1.33548302577372
"Utility","111",91.39,111.15,228.3,239.96,6.24482900387997e-08,0.828368620156824,1.55428176807018
"Utility","113",91.94,111.91,229.82,241.48,5.03410706647175e-09,0.645838144169749,3.90256159406129
"Utility","114",86.39,88.32,182.64,194.3,1.61105197686686e-08,0.778469945079609,1.64305128820991
"Utility","115",58.33,231.02,468.04,479.7,2.75060347153478e-07,0.427320989589414,0.395039615114364
"Utility","116",91.39,109.06,224.12,235.78,1.0057605453392e-08,0.775814733049288,2.0497805821435
"Utility","117",73.33,197.73,401.46,413.12,3.59108272888832e-08,0.686803512686471,1.42337270839931
"Utility","118",91.11,109.06,224.12,235.78,1.09956971569578e-08,0.834951488498043,1.53141544693912
"Utility","119",98.61,31.06,68.12,79.78,1.13702490798396e-08,0.966080810261045,1.66065279881929
"Utility","120",93.06,54.18,114.36,126.02,7.18105235762069e-08,0.995639961582291,0.768543561505415
"Utility","121",80.56,148.2,302.4,314.06,1.26887520590966e-07,0.624285219152755,2.66559568884211
"Utility","122",68.33,207.46,420.92,432.58,1.13590618222395e-07,0.71967822482439,0.372744152572957
"Utility","123",86.94,223.56,453.12,464.78,3.53211453311907e-08,0.825579436628394,1.33608830998592
"Utility","124",91.67,94.15,194.3,205.96,1.22418941291648e-07,0.509712294209492,7.61239065608823
"Utility","125",57.78,230.67,467.34,479,1.70479525034192e-07,0.48917545024614,0.400272653771901
"Utility","126",89.17,137.54,281.08,292.74,6.33467064750143e-08,0.824178551612718,1.56168750725168
"Utility","127",94.17,202.49,410.98,422.64,8.76602194249241e-08,0.952778897832292,1.07385918156934
"Utility","128",52.22,270.81,547.62,559.28,2.0015115792277e-07,0.532655676362804,0.143815676457436
"Utility","129",98.06,22.41,50.82,62.48,8.73059124171332e-09,0.660817537788211,5.52059281509566
