"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","120",79.17,144.13,292.26,300.03,0.0246136845089495,1.02864644257352,NA
"TD","121",80.83,196.73,397.46,405.23,0.0246136845089495,1.02864644257352,NA
"TD","122",50.56,256.41,516.82,524.59,0.994269776623696,0.00624773325398564,NA
"TD","123",78.61,293.05,590.1,597.87,0.0246136845089495,1.02864644257352,NA
"TD","124",79.44,185.01,374.02,381.79,0.0246136845089495,1.02864644257352,NA
"TD","125",48.33,258.36,520.72,528.49,0.994269776623696,0.00624773325398564,NA
"TD","126",80.83,181.73,367.46,375.23,0.0246136845089495,1.02864644257352,NA
"TD","127",47.22,260.4,524.8,532.57,0.994269776623696,0.00624773325398564,NA
"TD","128",51.67,263.26,530.52,538.29,0.994269776623696,0.00624773325398564,NA
"TD","129",84.44,106.17,216.34,224.11,0.0246136845089495,1.02864644257352,NA
"RSTD","1",57.5,302.25,610.5,622.16,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","2",61.11,226.43,458.86,470.52,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","3",57.5,249.04,504.08,515.74,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","4",60.56,225.96,457.92,469.58,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","5",96.67,256.36,518.72,530.38,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","6",55.56,307.91,621.82,633.48,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","7",59.44,244.64,495.28,506.94,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","8",60.56,203.2,412.4,424.06,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","9",55.56,259.03,524.06,535.72,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","10",97.5,178.73,363.46,375.12,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","11",57.5,249.82,505.64,517.3,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","12",51.94,306.31,618.62,630.28,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","13",92.78,199.53,405.06,416.72,0.0987690156545894,0.572773062891662,2.83403074614404
"RSTD","14",90.56,222.42,450.84,462.5,0.104056161902841,0.395828913176489,2.80152851790423
"RSTD","15",57.5,322.85,651.7,663.36,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","16",97.78,125.82,257.64,269.3,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","17",62.5,246.65,499.3,510.96,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","18",53.61,321.51,649.02,660.68,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","19",59.44,285.81,577.62,589.28,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","20",98.06,151.13,308.26,319.92,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","21",97.22,143.59,293.18,304.84,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","22",95.28,78.69,163.38,175.04,0.0957411082920595,0.483329341878714,2.55607197375896
"RSTD","23",95.28,235.3,476.6,488.26,0.0788493304277973,0.64764920313636,3.63410473715619
"RSTD","24",55.28,342.99,691.98,703.64,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","25",56.94,298.08,602.16,613.82,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","26",56.39,292.02,590.04,601.7,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","27",62.78,252.34,510.68,522.34,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","28",63.33,289.32,584.64,596.3,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","29",59.17,293.95,593.9,605.56,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","31",96.39,134.4,274.8,286.46,0.0609106907401136,0.599427331877118,3.02072186466096
"RSTD","32",62.22,252.4,510.8,522.46,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","34",86.94,143.79,293.58,305.24,0.12189925997518,0.954473827499896,2.46448994148523
"RSTD","35",59.72,224.65,455.3,466.96,0.413724326295778,0.343516472261399,0.104671118315309
