"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"RSTD","119",98.61,53.21,112.42,124.08,0.0289276386902202,0.97182192793116,1.32410803027994
"RSTD","120",91.94,78.16,162.32,173.98,0.00464960187673569,0.663511361461133,0.858517684282899
"RSTD","121",70.83,199.19,404.38,416.04,0.819673463104664,0.883300885558128,0.261953788359046
"RSTD","122",52.22,242.39,490.78,502.44,0.0374892428517342,0.0260924324393272,0.0153574999421835
"RSTD","123",87.22,235.13,476.26,487.92,0.00670800720570242,0.806403149803941,0.877224079798907
"RSTD","124",88.61,123.24,252.48,264.14,0.0410171827776576,0.212933756339226,0.901953414710761
"RSTD","125",58.89,242.37,490.74,502.4,0.277666613459587,0.450337063521147,0.0826410469751358
"RSTD","126",91.11,121.66,249.32,260.98,0.0462053813971579,0.984129110652248,0.942655039164937
"RSTD","127",93.89,181.14,368.28,379.94,0.0060784975066781,0.240604077313264,1.02519011433469
"RSTD","128",52.5,251.25,508.5,520.16,0.123136039102974,0.333697105643438,0.0236380019140243
"RSTD","129",97.22,45.7,97.4,109.06,0.0207018522341968,0.30873679582146,1.0995915744744
"Utility","1",56.11,246.81,499.62,511.28,0.0211800709366798,0.997194707393646,0.0266184125318985
"Utility","2",66.67,180.16,366.32,377.98,0.00153672794729683,0.9678715467453,0.207625371154815
"Utility","3",85.28,103.67,213.34,225,0,0.789868339896202,1.68020843608247
"Utility","4",91.11,160.08,326.16,337.82,0.0114163502927675,0.946678757667542,2.84856716170907
"Utility","5",93.33,187.99,381.98,393.64,0,0.972939230501652,1.05098837614059
"Utility","6",56.94,262.83,531.66,543.32,0.0122588397405252,0.582810282707214,0.1589593779139
"Utility","7",58.89,214.05,434.1,445.76,0.612625959862271,0.914030697782437,0.0304703111912608
"Utility","8",82.5,82.36,170.72,182.38,0.00816261768341064,0.82878443156369,1.94821657078171
"Utility","9",59.44,236.27,478.54,490.2,0.0363188567571342,0.481954988092184,0.247637305649161
"Utility","10",96.94,133.16,272.32,283.98,0,0.786247782409191,3.15624890010804
"Utility","11",57.78,234.55,475.1,486.76,0.0601179291968492,0.822131831897423,0.120668218954961
"Utility","12",54.44,256.39,518.78,530.44,0.102680996060371,0.324282561428845,0.648039209795676
"Utility","13",91.67,74.17,154.34,166,0,0.685157995671034,3.61687173397513
"Utility","14",86.94,114.56,235.12,246.78,0,0.690344527363777,2.92392716394567
"Utility","15",57.5,262.91,531.82,543.48,0.120663166046143,0.596234805810127,0.137594599495049
"Utility","16",72.22,143.95,293.9,305.56,0.0337276750724413,0.908735558390617,0.633485722224916
"Utility","17",58.89,226.79,459.58,471.24,0.0200771130621433,0.591066988214152,0.276294198244043
"Utility","18",52.78,242.38,490.76,502.42,0.00562861561775208,0.993835717439651,0.0285281839211884
"Utility","19",53.61,250.76,507.52,519.18,0.495575971901417,0.2143614590168,0.404498330945201
"Utility","20",96.67,72.88,151.76,163.42,0,0.922833018004894,1.57227440550923
"Utility","21",93.61,82.44,170.88,182.54,0.00372941965701431,0.952593423426151,1.320267111063
"Utility","22",94.17,37.26,80.52,92.18,0,0.72775037586689,3.1580261050334
"Utility","23",55.83,265.34,536.68,548.34,0.237725608050823,0.281368270516396,0.387555734240545
"Utility","24",49.72,238.34,482.68,494.34,0,0.330706567037851,0.211704090748966
"Utility","25",86.11,206.74,419.48,431.14,0,0.530204067967134,7.00563654350117
"Utility","26",51.39,233.33,472.66,484.32,0.552001510674017,0.377624407410622,0.225273588229463
"Utility","27",90.83,120.34,246.68,258.34,0,0.564188311907928,7.07143022865057
"Utility","28",58.61,258.86,523.72,535.38,0.567277014255524,0.792856004962232,0.0846358041896969
"Utility","29",58.06,249.41,504.82,516.48,0.0175095228478312,0.40298368781805,0.250970486791968
"Utility","31",93.06,47.94,101.88,113.54,0,0.894077144563198,1.33455965667963
"Utility","32",82.5,172.51,351.02,362.68,0,0.569077506661415,4.21183097644462
"Utility","34",54.17,235.17,476.34,488,0.382086524972692,0.417556033367873,0.403875711163998
"Utility","35",88.33,114.53,235.06,246.72,0,0.801881659397623,1.75726149603724
"Utility","36",56.94,253.59,513.18,524.84,0.0241904327494922,0.969492727192119,0.0718654561940134
"Utility","37",86.67,181.62,369.24,380.9,0,0.621981675016286,4.37145838301876
"Utility","38",52.22,263.62,533.24,544.9,0.89266350120306,0.0187456202693284,0.491873361170292
"Utility","39",56.67,234.88,475.76,487.42,0.184353549033403,0.956859249778063,0.0271490766026545
"Utility","40",78.61,158.72,323.44,335.1,0.0182611174639236,0.945364091545343,1.46203563256165
"Utility","41",86.39,166.16,338.32,349.98,0.00181139174674172,0.866259630769491,1.31173269685018
"Utility","42",95,56.84,119.68,131.34,0,0.976673975586891,0.952423860349417
"Utility","43",93.61,83.95,173.9,185.56,0,0.804910613735046,2.32343893546271
"Utility","44",56.94,228.04,462.08,473.74,0.270563453435898,0.703199736773968,0.123269584029913
"Utility","45",94.72,183.87,373.74,385.4,0.00284129833562474,0.736344528770132,6.67056773607328
"Utility","46",85.56,80.29,166.58,178.24,0.00909002621968587,0.938176074996591,1.18134824199728
"Utility","47",53.61,287.31,580.62,592.28,0.0216229651123285,0.356148725375533,0.142376961907864
"Utility","48",55.83,262.45,530.9,542.56,0,0.403473442886025,0.446478555459857
"Utility","49",90,134.63,275.26,286.92,0.00150574012102177,0.886994665608769,1.37394302662733
"Utility","50",73.89,131.19,268.38,280.04,0.0562605763616284,0.302364107651556,6.85286609735808
"Utility","51",57.5,281.23,568.46,580.12,0.79682581871748,0.690647007199004,0.147271855344772
