"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","124",86.94,117.2,238.4,246.17,0,0.672731486870048,NA
"TD","125",88.33,197.65,399.3,407.07,0,0.740417175415137,NA
"TD","126",86.94,114.52,233.04,240.81,0,0.665125227488799,NA
"TD","127",92.5,179.47,362.94,370.71,0,0.866501785031199,NA
"TD","128",58.33,241.74,487.48,495.25,0,0.0313272129274758,NA
"TD","129",98.33,116.52,237.04,244.81,1e-05,10,NA
"RSTD","1",56.39,243.68,493.36,505.02,0,0,0.029523534424537
"RSTD","2",68.33,176.37,358.74,370.4,0,0,0.203069498610138
"RSTD","3",85,103.66,213.32,224.98,0,4.99788430311043e-06,0.610237746569439
"RSTD","4",91.11,153.67,313.34,325,0.0040877736516576,0.000176214313727469,1.11627384649403
"RSTD","5",95,187.73,381.46,393.12,0,0.00810605401133578,1.01931845610754
"RSTD","6",83.06,270.22,546.44,558.1,0,0,0.57856343675289
"RSTD","7",57.22,206.75,419.5,431.16,0.149199595298428,0.133240889257096,0.0488944110848283
"RSTD","8",86.39,73.12,152.24,163.9,0.00994093889389005,0.00257468403402846,1.06606108816147
"RSTD","9",76.94,198.07,402.14,413.8,0,0,0.409356043543217
"RSTD","10",97.5,185.59,377.18,388.84,1e-05,1e-05,10
"RSTD","11",83.61,197.14,400.28,411.94,0,1e-05,0.608156619487186
"RSTD","12",61.11,237.09,480.18,491.84,0,0.0805295651294867,0.0828430962712972
"RSTD","13",91.39,74.17,154.34,166,0,0,0.784432755515952
"RSTD","14",86.94,114.51,235.02,246.68,0,0,0.677395049620379
"RSTD","15",89.72,243.13,492.26,503.92,0,0.489533194914009,0.804187917172577
"RSTD","16",97.78,139.54,285.08,296.74,1e-05,1e-05,10
"RSTD","17",61.94,216.05,438.1,449.76,0.0827706108604628,0,0.0652354536395051
"RSTD","18",53.89,240.51,487.02,498.68,0,0.00304674822807619,0.0333282938308272
"RSTD","19",57.5,235.11,476.22,487.88,0,0,0.0402258275607715
"RSTD","20",98.06,162.57,331.14,342.8,1e-05,1e-05,10
"RSTD","21",97.22,208.62,423.24,434.9,1e-05,1e-05,10
"RSTD","22",97.78,184.9,375.8,387.46,1e-05,1e-05,10
"RSTD","23",46.67,294.2,594.4,606.06,1e-05,1e-05,9.99999984276566e-06
"RSTD","24",51.11,231.54,469.08,480.74,0,0,0.0208407002250263
"RSTD","25",86.11,206.75,419.5,431.16,0,0.000576575297099553,0.690420077652581
"RSTD","26",53.33,221.74,449.48,461.14,0,0,0.0283869907988455
"RSTD","27",91.11,120.48,246.96,258.62,0,0,0.836315334210918
"RSTD","28",59.44,256.4,518.8,530.46,0.37484836391808,0.38302665878157,0.0374492817363772
"RSTD","29",57.5,234.29,474.58,486.24,0,0,0.0401299275857692
"RSTD","31",92.78,47.93,101.86,113.52,0,0,0.799403031005348
"RSTD","32",82.5,172.5,351,362.66,0,0,0.507881305332698
"RSTD","34",52.5,271.17,548.34,560,1e-05,1,0
"RSTD","35",88.33,114.51,235.02,246.68,0,-2.16840434497101e-19,0.672358803653725
"RSTD","36",85.83,206.6,419.2,430.86,0,0.00520852936010873,0.683799126916694
"RSTD","37",86.67,181.62,369.24,380.9,0,0,0.690971851805959
"RSTD","38",53.06,271.87,549.74,561.4,1e-05,1e-05,0
"RSTD","39",54.72,225.63,457.26,468.92,0,0,0.0258935514723231
"RSTD","40",77.22,143.03,292.06,303.72,0.00683417397799424,0,0.586464112410884
"RSTD","41",86.94,163.23,332.46,344.12,0,0.00973181249070167,0.663127634537865
"RSTD","42",97.5,184.9,375.8,387.46,1e-05,1e-05,10
"RSTD","43",96.67,231.64,469.28,480.94,1e-05,1e-05,10
"RSTD","44",51.67,270.48,546.96,558.62,1e-05,1e-05,9.99999989923e-06
"RSTD","45",93.61,147.2,300.4,312.06,0,0.0398177905090346,1.01969722090729
"RSTD","46",87.22,74.39,154.78,166.44,0.00276596604211609,0,0.722544961155702
"RSTD","47",53.61,276.86,559.72,571.38,0,0,0.0210699683681812
"RSTD","48",58.61,251.67,509.34,521,0,0,0.0495797812063742
"RSTD","49",88.89,132.08,270.16,281.82,0,0,0.704896754624265
"RSTD","50",65.28,188.58,383.16,394.82,0.188058612777823,0,0.0780663217260213
"RSTD","51",82.78,264.92,535.84,547.5,0,2.02035987574073e-06,0.609979955738762
"RSTD","52",50.56,248.15,502.3,513.96,1e-05,1e-05,9.99999996650245e-06
"RSTD","53",80.28,190.95,387.9,399.56,-2.16840434497101e-19,0,0.518529300710415
"RSTD","54",55.56,239.01,484.02,495.68,0,0,0.0338856694582278
"RSTD","55",92.5,126.33,258.66,270.32,0,0,0.926800055951945
"RSTD","56",89.72,169.31,344.62,356.28,0,4.98233578767717e-06,0.756535225460622
"RSTD","57",98.89,93.49,192.98,204.64,1e-05,1e-05,10
"RSTD","58",86.94,200.52,407.04,418.7,0,0,0.726454664027359
"RSTD","59",89.44,126.26,258.52,270.18,0,0,0.73186545866729
"RSTD","60",69.44,179.56,365.12,376.78,0.0379759823781848,7.36499209668116e-06,0.365820047907899
"RSTD","61",83.06,254.01,514.02,525.68,0,0.011810304310152,0.55443854694276
"RSTD","62",59.17,236.81,479.62,491.28,0.0493646820298656,0,0.0380080099046346
"RSTD","63",98.61,93.49,192.98,204.64,1e-05,1e-05,10
"RSTD","64",96.67,231.64,469.28,480.94,1e-05,1e-05,10
"RSTD","65",83.06,244.82,495.64,507.3,0,0,0.59444284844147
"RSTD","67",77.5,138.07,282.14,293.8,0.0230533381802737,0.0427629131281888,0.657126405429429
"RSTD","68",53.33,216.26,438.52,450.18,0,0,0.0329622646481045
"RSTD","69",53.33,247.24,500.48,512.14,9.99999965828987e-06,9.99999965828987e-06,0.00419580655512368
"RSTD","70",87.5,94.22,194.44,206.1,0,0,0.659424678024573
"RSTD","71",59.44,240.36,486.72,498.38,0,0.0423310358896977,0.0334383765060569
"RSTD","72",47.78,292.83,591.66,603.32,1e-05,9.99999996022742e-06,0.00335378666036935
"RSTD","73",97.5,185.59,377.18,388.84,1e-05,1e-05,10
"RSTD","74",75.56,212.11,430.22,441.88,0.0907435840281901,0.00103617897873062,0.440664819070189
"RSTD","75",89.44,129.23,264.46,276.12,0,0,0.722651868806348
"RSTD","76",50.83,245.84,497.68,509.34,0,0,0.0272836177267785
"RSTD","77",47.78,294.2,594.4,606.06,1e-05,1e-05,9.99999972064546e-06
"RSTD","78",94.17,82.9,171.8,183.46,0.0161539836681162,0.0292094852910015,1.43426038469244
"RSTD","79",62.22,229.15,464.3,475.96,1,0.904284249487267,0.0650382676134584
"RSTD","80",83.33,135.26,276.52,288.18,0.0202507507789886,0.0381954544041142,0.900426583278741
"RSTD","81",94.17,103.33,212.66,224.32,0,0,0.929786527681872
"RSTD","82",95.83,128.27,262.54,274.2,0,0.0118192484350473,1.08597626577574
"RSTD","83",88.33,140.2,286.4,298.06,0,0,0.659151370355514
"RSTD","84",97.5,185.59,377.18,388.84,1e-05,1e-05,10
"RSTD","85",59.17,234.35,474.7,486.36,0,0,0.0393367952217342
"RSTD","86",98.06,139.54,285.08,296.74,1e-05,1e-05,10
"RSTD","87",56.94,235.85,477.7,489.36,0,0,0.0381185850755632
"RSTD","88",59.44,234.37,474.74,486.4,0.166911626909279,0.257849873025983,0.0422578018532361
"RSTD","89",51.11,271.17,548.34,560,1e-05,1e-05,9.99999983520754e-06
"RSTD","90",59.72,225.85,457.7,469.36,0,0.0473705828943303,0.0559831426241795
"RSTD","91",80.56,220.7,447.4,459.06,0,0,0.494675050142171
"RSTD","92",52.22,248.15,502.3,513.96,1e-05,1e-05,9.99999997846653e-06
"RSTD","93",58.33,225.41,456.82,468.48,0,0,0.0554668820061755
"RSTD","94",99.17,47.44,100.88,112.54,1e-05,1e-05,10
"RSTD","95",65.83,235.36,476.72,488.38,0,7.10177323097784e-06,0.125954633518185
"RSTD","96",56.11,240.79,487.58,499.24,0,0,0.032843185049157
"RSTD","97",89.44,84.28,174.56,186.22,0.0144908740373402,0.0361739119936264,0.93528104565138
"RSTD","98",60.83,226.55,459.1,470.76,0,0,0.054938449866195
"RSTD","99",90.56,97.24,200.48,212.14,0,7.79005696707421e-05,0.780946473034987
"RSTD","100",88.33,218.36,442.72,454.38,0,0.000196032939924564,0.744664539411991
"RSTD","101",51.67,259.65,525.3,536.96,0.111240237918163,0.192681159293439,0.0375774487265907
"RSTD","102",91.39,182.83,371.66,383.32,0,0,0.836431660626629
"RSTD","103",93.33,129.95,265.9,277.56,0,0.00795252233117287,0.868656132264155
"RSTD","104",98.06,161.87,329.74,341.4,1e-05,1e-05,10
"RSTD","105",55.83,248.15,502.3,513.96,1e-05,1e-05,1e-05
"RSTD","106",86.11,106.08,218.16,229.82,0,0.000411220272314489,0.604760835946503
"RSTD","107",81.39,118.69,243.38,255.04,0.0290401141081778,0.0198178947099315,0.814686346723875
"RSTD","108",77.22,145.5,297,308.66,0,0,0.441055432669389
"RSTD","109",65.56,204.1,414.2,425.86,0.0132208951850921,0,0.303435547510048
"RSTD","110",98.06,138.85,283.7,295.36,1e-05,1e-05,10
"RSTD","111",90,104.35,214.7,226.36,0.0578218092985372,0.285056129915549,0.86399123839871
"RSTD","113",88.33,88.83,183.66,195.32,0,0,0.69602893730789
"RSTD","114",84.17,111.35,228.7,240.36,0,0,0.574398133469888
"RSTD","115",60.83,212.61,431.22,442.88,0.438356889288592,0.0578348038267995,0.0370135446248017
"RSTD","116",49.44,271.17,548.34,560,1e-05,1e-05,9.99999858778752e-06
"RSTD","117",70,172.67,351.34,363,0,0.0137653005242312,0.320991278964836
"RSTD","118",87.22,86.07,178.14,189.8,0,0,0.688067572333124
"RSTD","119",98.89,70.46,146.92,158.58,1e-05,1e-05,10
"RSTD","120",90,77.2,160.4,172.06,0,0.00172241137120755,0.757216675295002
"RSTD","121",79.44,148.2,302.4,314.06,0,0,0.415106649091638
"RSTD","122",80.28,181.83,369.66,381.32,0,0,0.466190515133296
"RSTD","123",83.61,218.48,442.96,454.62,0,0.0135804543349186,0.685097301827195
"RSTD","124",86.94,117.17,240.34,252,0,0,0.65825401554478
"RSTD","125",88.06,197.19,400.38,412.04,0,0.0139066048270646,0.782060670709088
"RSTD","126",86.39,114.34,234.68,246.34,0,0.00639945062291365,0.709913837834028
"RSTD","127",92.5,179.46,364.92,376.58,0,0,0.861021482623229
"RSTD","128",58.33,241.74,489.48,501.14,0,0,0.0313272524898875
"RSTD","129",98.33,116.52,239.04,250.7,1e-05,1e-05,10
"Utility","1",50.56,248.43,502.86,514.52,0,0,1.01955929820871
"Utility","2",71.11,180.73,367.46,379.12,0,0.329245916247936,10
"Utility","3",85,103.65,213.3,224.96,0,0.449573455673595,10
"Utility","4",55,215.86,437.72,449.38,0,0.0839226045605087,1.18563094898713
"Utility","5",67.78,230.43,466.86,478.52,0,1,0.160456332543515
"Utility","6",60.56,246.13,498.26,509.92,0,1,0.0610249222495391
"Utility","7",51.11,247.45,500.9,512.56,1e-05,1e-05,9.99999858778752e-06
"Utility","8",87.78,77.37,160.74,172.4,0.00592381734524287,0.584874089478359,10
"Utility","9",60.83,240.3,486.6,498.26,0,0,4.58308445318035
"Utility","10",96.94,133.16,272.32,283.98,0,0.925394979826153,1.60981684035566
"Utility","11",52.5,237.29,480.58,492.24,0,0.0431186165836108,1.29757257148249
"Utility","12",55.28,254.08,514.16,525.82,0,0,1.82158608166303
"Utility","13",91.39,74.17,154.34,166,0,0.492700216339398,10
"Utility","14",86.94,114.51,235.02,246.68,0,0.466991594696631,10
"Utility","15",51.67,294.2,594.4,606.06,1e-05,1e-05,1e-05
"Utility","16",97.78,139.54,285.08,296.74,0,1,10
"Utility","17",63.61,242.48,490.96,502.62,0.0218686338230056,0,10
"Utility","18",53.89,240.5,487,498.66,0,1,0.0332070936051859
"Utility","19",57.5,235.11,476.22,487.88,0,1,0.0396976767218991
"Utility","20",98.06,162.56,331.12,342.78,0,1,7.61483886850007
"Utility","21",93.89,80.3,166.6,178.26,0,0.521548497876119,10
"Utility","22",97.78,184.9,375.8,387.46,0,1,10
"Utility","23",51.67,294.2,594.4,606.06,1e-05,1e-05,9.99999714042236e-06
"Utility","24",48.33,240.51,487.02,498.68,0,0.00781402391334919,0.502151417664394
"Utility","25",53.33,261.15,528.3,539.96,0,0.0188679245282857,1.58945639173122
"Utility","26",53.33,221.75,449.5,461.16,0,1,0.0284857622233684
"Utility","27",56.39,261.86,529.72,541.38,0,1e-05,10
"Utility","28",54.17,294.2,594.4,606.06,1e-05,1e-05,1e-05
"Utility","29",57.5,234.29,474.58,486.24,0,1,0.040206478569439
"Utility","31",93.06,47.93,101.86,113.52,0,0.498317567356448,10
"Utility","32",82.5,172.5,351,362.66,0,0.466414774998634,7.62800205794331
"Utility","34",53.61,271.17,548.34,560,1e-05,1e-05,9.99999858778752e-06
"Utility","35",88.33,114.51,235.02,246.68,0,0.467139261814277,10
"Utility","36",67.78,226.3,458.6,470.26,0,1,0.184689403326889
"Utility","37",60.83,238.53,483.06,494.72,0,0,1.68381130893105
"Utility","38",43.06,271.87,549.74,561.4,1e-05,1e-05,9.99999952248406e-06
"Utility","39",56.39,233.51,473.02,484.68,1e-05,1e-05,0.809687421774461
"Utility","40",77.22,146.07,298.14,309.8,0.00298577061702073,0.447618151986095,10
"Utility","41",86.94,163.22,332.44,344.1,0,0.998696774386999,0.662741509977152
"Utility","42",97.5,184.9,375.8,387.46,0,1,10
"Utility","43",92.78,83.88,173.76,185.42,0,0.51580728713717,10
