simulate_model,fit_model,iteration,ACC,LogL,LogPr,LogPo,AIC,BIC,input_param_1,input_param_2,input_param_3,output_param_1,output_param_2,output_param_3
TD,TD,64,100,-192.72,NA,NA,389.44,397.21,0.897607917,0.209870353,NA,0.732696259,0.105441043,NA
TD,TD,65,100,-217.29,NA,NA,438.58,446.35,0.398145136,0.048580125,NA,0.661340061,0.034663171,NA
TD,TD,66,100,-184.61,NA,NA,373.22,380.99,0.47024403,0.370898499,NA,0.327935085,0.285400701,NA
TD,TD,67,100,-79.46,NA,NA,162.92,170.69,0.824348854,1.180028794,NA,0.851365467,1.741662121,NA
TD,TD,68,100,-186.8,NA,NA,377.6,385.37,0.503097831,0.322839246,NA,0.457709284,0.212645683,NA
TD,TD,69,100,-111.85,NA,NA,227.7,235.47,0.361050225,1.173362455,NA,0.314110543,0.877017316,NA
TD,TD,70,100,-192.08,NA,NA,388.16,395.93,0.964988885,0.189227519,NA,0.671582893,0.109899451,NA
TD,TD,71,100,-77.84,NA,NA,159.68,167.45,0.789667063,2.045440037,NA,0.837979776,1.606577856,NA
TD,TD,72,100,-82.14,NA,NA,168.28,176.05,0.628910263,2.954663023,NA,0.829266213,1.354082951,NA
TD,TD,73,100,-134.78,NA,NA,273.56,281.33,0.415234696,0.710676135,NA,0.282917912,0.55967297,NA
TD,TD,74,100,-102.02,NA,NA,208.04,215.81,0.857857149,0.936107956,NA,0.830485616,0.85237442,NA
TD,TD,75,100,-189.99,NA,NA,383.98,391.75,0.629901704,0.199268886,NA,0.559373068,0.133961609,NA
TD,TD,76,100,-193.21,NA,NA,390.42,398.19,0.35928991,0.364497002,NA,0.310747165,0.228336429,NA
TD,TD,77,100,-106.21,NA,NA,216.42,224.19,0.446684151,1.468605189,NA,0.338624016,0.97677577,NA
TD,TD,78,100,-184.35,NA,NA,372.7,380.47,0.378760502,0.432298531,NA,0.266527833,0.332324858,NA
TD,TD,79,100,-138.2,NA,NA,280.4,288.17,0.372670354,0.686002679,NA,0.289009712,0.53214086,NA
TD,TD,80,100,-182.6,NA,NA,369.2,376.97,0.428967847,0.430095954,NA,0.322692389,0.300709518,NA
TD,TD,81,100,-218.82,NA,NA,441.64,449.41,0.111280993,0.04204805,NA,0.03857647,0.034452514,NA
TD,TD,82,100,-116.14,NA,NA,236.28,244.05,0.1421618,1.606636273,NA,0.19206537,0.985571713,NA
TD,TD,83,100,-77.84,NA,NA,159.68,167.45,0.779834398,3.557625862,NA,0.837979776,1.606577856,NA
TD,TD,84,100,-172.66,NA,NA,349.32,357.09,0.386252531,0.630521602,NA,0.27762402,0.387798377,NA
TD,TD,85,100,-194.61,NA,NA,393.22,400.99,0.238968567,0.305974979,NA,0.416945222,0.15305705,NA
TD,TD,86,100,-197.49,NA,NA,398.98,406.75,0.6702823,0.116263606,NA,0.585960645,0.095327904,NA
TD,TD,87,100,-117.85,NA,NA,239.7,247.47,0.560497719,0.792237847,NA,0.3961165,0.664808513,NA
TD,TD,88,100,-191.94,NA,NA,387.88,395.65,0.915246692,0.194212661,NA,0.657613241,0.110115378,NA
TD,TD,89,100,-108.08,NA,NA,220.16,227.93,0.589335348,0.931611172,NA,0.435043581,0.743991197,NA
TD,TD,90,100,-149.01,NA,NA,302.02,309.79,0.987134295,0.600823707,NA,0.882853007,0.538021966,NA
TD,TD,91,100,-182.2,NA,NA,368.4,376.17,0.40112499,0.43657127,NA,0.29638194,0.319252688,NA
TD,TD,92,100,-214.91,NA,NA,433.82,441.59,0.565618214,0.064915997,NA,0.748713978,0.047702605,NA
TD,TD,93,100,-199.63,NA,NA,403.26,411.03,0.12512722,0.546449628,NA,0.219219384,0.248706867,NA
TD,TD,94,100,-122.22,NA,NA,248.44,256.21,0.791645931,0.766796249,NA,0.780171554,0.618412512,NA
TD,TD,95,100,-205.72,NA,NA,415.44,423.21,0.098831951,0.092432989,NA,0.134474266,0.067362265,NA
TD,TD,96,100,-125.09,NA,NA,254.18,261.95,0.333673485,0.79963922,NA,0.309392576,0.61166005,NA
TD,TD,97,100,-208.47,NA,NA,420.94,428.71,0.101720168,0.620830334,NA,0.331843548,0.146931162,NA
TD,TD,98,100,-223.25,NA,NA,450.5,458.27,0.018728345,0.165121834,NA,0.165765027,0.051518314,NA
TD,TD,99,100,-121.09,NA,NA,246.18,253.95,0.461979309,0.880842309,NA,0.30328909,0.674679583,NA
TD,TD,100,100,-106,NA,NA,216,223.77,0.729020358,0.835652914,NA,0.773651367,0.723710966,NA
TD,RSTD,1,100,-109.12,NA,NA,224.24,235.9,0.643091264,0.833578742,NA,0.717376213,0.758324128,0.645301835
TD,RSTD,2,100,-82.62,NA,NA,171.24,182.9,0.724670133,1.435616042,NA,0.353770867,0.650387778,2.546797524
TD,RSTD,3,100,-85.03,NA,NA,176.06,187.72,0.950232451,2.037790157,NA,0.775909585,0.871606072,1.984043144
TD,RSTD,4,100,-200.89,NA,NA,407.78,419.44,0.682289759,0.072022455,NA,0.999993534,0.664194929,0.060742885
TD,RSTD,5,100,-113.81,NA,NA,233.62,245.28,0.200363578,1.005684399,NA,0.446680305,0.282538702,0.78177549
TD,RSTD,6,100,-188.47,NA,NA,382.94,394.6,0.321220334,0.298665664,NA,0.307992935,0.394665306,0.200419225
TD,RSTD,7,100,-216.41,NA,NA,438.82,450.48,0.571441248,0.050213295,NA,0.54693767,0.432052534,0.036643832
TD,RSTD,8,100,-193.48,NA,NA,392.96,404.62,0.973066304,0.392999499,NA,0.922557629,0.836606197,0.381053376
TD,RSTD,9,100,-242.28,NA,NA,490.56,502.22,0.895209939,0.00547374,NA,0.778075458,0.612660803,3.57E-05
TD,RSTD,10,100,-218.63,NA,NA,443.26,454.92,0.049414618,0.507862411,NA,0.376775184,0.171628467,0.102865005
TD,RSTD,11,100,-211.54,NA,NA,429.08,440.74,0.197620301,0.189836999,NA,0.453987763,0.270579133,0.071360717
TD,RSTD,12,100,-218.21,NA,NA,442.42,454.08,0.056064042,0.56602673,NA,0.557469579,0.191006641,0.065167592
TD,RSTD,13,100,-149.44,NA,NA,304.88,316.54,0.051307132,1.232473707,NA,0.17088624,0.171713557,0.71592859
TD,RSTD,14,100,-190.71,NA,NA,387.42,399.08,0.989872475,0.208000437,NA,0.635481971,0.616929281,0.131293735
TD,RSTD,15,100,-172.65,NA,NA,351.3,362.96,0.711294804,0.576327974,NA,0.86768682,0.756417793,0.437370649
TD,RSTD,16,100,-242.4,NA,NA,490.8,502.46,0.076893083,0.009669867,NA,0.586469908,0.082188125,3.52E-08
TD,RSTD,17,100,-78.11,NA,NA,162.22,173.88,0.797194604,2.505488173,NA,0.417391452,0.712342627,3.302832124
TD,RSTD,18,100,-86.52,NA,NA,179.04,190.7,0.731893435,1.274954205,NA,0.317192241,0.560778749,1.344220453
TD,RSTD,19,100,-115.06,NA,NA,236.12,247.78,0.809085062,0.797056699,NA,0.774298514,0.791933123,0.704080827
TD,RSTD,20,100,-94.98,NA,NA,195.96,207.62,0.511981163,2.391249828,NA,0.690746381,0.419077622,1.187264782
TD,RSTD,21,100,-97.57,NA,NA,201.14,212.8,0.226354157,1.668979891,NA,0.620129568,0.331778309,0.958859738
TD,RSTD,22,100,-114.59,NA,NA,235.18,246.84,0.300222688,0.955442077,NA,0.710837851,0.374040074,0.720310592
TD,RSTD,23,100,-85.03,NA,NA,176.06,187.72,0.984172471,1.696046736,NA,0.775909585,0.871606072,1.984043144
TD,RSTD,24,100,-184.1,NA,NA,374.2,385.86,0.540354024,0.234106498,NA,0.646899925,0.445894614,0.143478414
TD,RSTD,25,100,-190.4,NA,NA,386.8,398.46,0.870058757,0.327183236,NA,0.896966633,0.767335902,0.291108501
TD,RSTD,26,100,-132.68,NA,NA,271.36,283.02,0.066055891,1.975677816,NA,0.138740495,0.136603836,0.926757817
TD,RSTD,27,100,-185.91,NA,NA,377.82,389.48,0.973287776,0.260513228,NA,0.697196481,0.671145622,0.133944143
TD,RSTD,28,100,-103.03,NA,NA,212.06,223.72,0.290595552,1.055738497,NA,0.682016224,0.371323268,0.823226984
TD,RSTD,29,100,-190.71,NA,NA,387.42,399.08,0.98891032,0.211397309,NA,0.635481971,0.616929281,0.131293735
TD,RSTD,30,100,-96.93,NA,NA,199.86,211.52,0.329378832,2.085106326,NA,0.674063125,0.393700352,1.077569064
